text,clean_text
"Email Subject:
Availability to meet at [CONFERENCE/MEETING acronym] [YEAR]
Email Body:
[Scenario 1: Reconnecting with contact (established relationship)]
I hope this reaches you well! 
I was wondering if you were attending CONFERENCE/MEETING in CITY on DATE(S)? I will be attending DATES and would love to reconnect to discuss [potential collaboration on a special issue/potential editorship/previous discussion/production issues/other issues]. 
Are you available to meet on DATE?
I look forward to hearing from you.
Scenario 2: Connecting with new contact – Editor connection
Please allow me to introduce myself, I am the Publishing Editor for JOURNAL(S), and your name has come up in conversation with EDITOR NAME/SOCIETY CONTACT NAME regarding [contribution/work]. All wonderful things, I assure you! 
I was wondering if you were attending the upcoming CONFERENCE/MEETING in CITY on DATE(S)? I will be attending DATES and I’d love a chance to connect over coffee/tea to discuss [potential collaboration on a special issue/potential editorship/previous discussion/other issue]. 
Please let me know your availability. 
I look forward to hearing from you.
Scenario 3: Connecting with new contact – Journal connection (author, reviewer, misc.)
Please allow me to introduce myself, I am the Publishing Editor for JOURNAL(S). I was made aware of your contribution [as a reviewer/as an author of the article, entitled, “TITLE”/as a former editor/as a friend of the journal]. I was wondering if you were attending the upcoming CONFERENCE/MEETING in CITY on DATE(S)? I will be attending DATES and I’d love a chance to connect over coffee/tea to discuss [potential collaboration on a special issue/potential editorship/previous discussion/other issue].
Please let me know your availability. 
I look forward to hearing from you.
Scenario 4: Connecting with new contact – Cold call
Please allow me to introduce myself, I am the Publishing Editor for JOURNAL(S). I was made aware of your contribution [to the DISCIPLINE field, with your recent article/work, entitled, “TITLE”]. 
I was wondering if you were attending the upcoming CONFERENCE/MEETING in CITY on DATE(S)? I will be attending DATES and I’d love a chance to connect over coffee/tea to discuss [potential collaboration on a special issue/potential editorship/previous discussion/other issue].
Please let me know your availability. 
I look forward to hearing from you.
","['email', 'subject', 'availability', 'meet', 'acronym', 'year', 'email', 'body', 'scenario', '1', 'reconnecting', 'contact', 'established', 'relationship', 'hope', 'reaches', 'well', 'wondering', 'attending', 'city', 'date', 'attending', 'dates', 'would', 'love', 'reconnect', 'discuss', 'potential', 'collaboration', 'special', 'issues', 'available', 'meet', 'date', 'look', 'forward', 'hearing', 'scenario', '2', 'connecting', 'new', 'contact', 'editor', 'connection', 'please', 'allow', 'introduce', 'publishing', 'editor', 'journal', 'name', 'come', 'conversation', 'editor', 'contact', 'name', 'regarding', 'wonderful', 'things', 'assure', 'wondering', 'attending', 'upcoming', 'city', 'date', 'attending', 'dates', 'love', 'chance', 'connect', 'discuss', 'potential', 'collaboration', 'special', 'issue', 'please', 'let', 'know', 'availability', 'look', 'forward', 'hearing', 'scenario', '3', 'connecting', 'new', 'contact', 'journal', 'connection', 'author', 'reviewer', 'misc', 'please', 'allow', 'introduce', 'publishing', 'editor', 'journal', 'made', 'aware', 'contribution', 'author', 'article', 'entitled', 'title', 'former', 'friend', 'journal', 'wondering', 'attending', 'upcoming', 'city', 'date', 'attending', 'dates', 'love', 'chance', 'connect', 'discuss', 'potential', 'collaboration', 'special', 'issue', 'please', 'let', 'know', 'availability', 'look', 'forward', 'hearing', 'scenario', '4', 'connecting', 'new', 'contact', 'cold', 'call', 'please', 'allow', 'introduce', 'publishing', 'editor', 'journal', 'made', 'aware', 'contribution', 'discipline', 'field', 'recent', 'entitled', 'title', 'wondering', 'attending', 'upcoming', 'city', 'date', 'attending', 'dates', 'love', 'chance', 'connect', 'discuss', 'potential', 'collaboration', 'special', 'issue', 'please', 'let', 'know', 'availability', 'look', 'forward', 'hearing']"
"Email Subject:
Annual Impact Factor for JOURNAL
Email Body:
Dear EDITOR/SOCIETY,

As promised, I'm attaching a packet of additional information related to Impact Factor and journal ranking for JOURNAL. Feel free to be in touch if you have questions about any of the information contained here.
 
Sincerely,
PUB ED
","['email', 'subject', 'annual', 'impact', 'factor', 'journal', 'email', 'body', 'dear', 'promised', 'attaching', 'packet', 'additional', 'information', 'related', 'impact', 'factor', 'journal', 'ranking', 'journal', 'feel', 'free', 'touch', 'questions', 'information', 'contained', 'sincerely', 'pub', 'ed']"
"Email Subject:
Annual Publisher’s Report for JOURNAL
Email Body:
Dear EDITOR,

Please find attached a copy of a Publisher's Report for JOURNAL, covering years 20XX-20XX. The report includes data on various aspects of the journal, including marketing efforts, production details, subscriptions/circulation, usage, citations, financials, and other important metrics.

Please feel free to reach out with any questions you may have about the report. You are encouraged to share this information with members of the Editorial Board, if desired. I would also be happy to present the findings of the report at the next Editorial Board meeting.

Sincerely,
PUB ED
","['email', 'subject', 'annual', 'publisher', 'report', 'journal', 'email', 'body', 'dear', 'editor', 'please', 'find', 'attached', 'copy', 'publisher', 'report', 'journal', 'covering', 'years', 'report', 'includes', 'data', 'various', 'aspects', 'journal', 'including', 'marketing', 'efforts', 'production', 'details', 'usage', 'citations', 'financials', 'important', 'metrics', 'please', 'feel', 'free', 'reach', 'questions', 'may', 'report', 'encouraged', 'share', 'information', 'members', 'editorial', 'board', 'desired', 'would', 'also', 'happy', 'present', 'findings', 'report', 'next', 'editorial', 'board', 'meeting', 'sincerely', 'pub', 'ed']"
"Email Subject:
Sage/[SOCIETY] contract renewal
Email Body:
Hi NAME, 
I hope you are doing well. The contract between Sage and [SOCIETY] is due to expire on [DATE]. Per our contract, this email serves as [NUMBER]-months’ notice of our intention to renew the agreement. Please see attached for Sage’s renewal offer, where we propose [short list of any noteworthy/changing terms]. 
We value our partnership with [SOCIETY] and are hopeful to see it continue for many years. The attached letter delineates the renewal offer. Please let me know if you have any questions or feedback.
","['email', 'subject', 'society', 'contract', 'renewal', 'email', 'body', 'hi', 'name', 'hope', 'well', 'contract', 'sage', 'society', 'due', 'expire', 'date', 'per', 'contract', 'email', 'serves', 'number', 'notice', 'intention', 'renew', 'agreement', 'please', 'see', 'attached', 'sage', 'renewal', 'offer', 'propose', 'short', 'list', 'terms', 'value', 'partnership', 'society', 'hopeful', 'see', 'continue', 'many', 'years', 'attached', 'letter', 'delineates', 'renewal', 'offer', 'please', 'let', 'know', 'questions', 'feedback']"
"Email Subject:
YEAR Royalty Statement
Email Body:
Attached is the journal royalty statement for YEAR. Where a royalty is due, electronic payments will be made by DATE.
Sage’s finance team does not mail a print copy of the royalty statement since all payments and communications are now electronic. Another copy of the royalty statement will be emailed as remittance advice to your designated finance contact (EMAIL), in line with other journal payment notifications from Sage.
In prior years we have reported package sales revenue as one line within the royalty statements. Starting in 2023, this revenue has been split out as “Package Sales: Read Only” and “Package Sales: With Open Access” revenue. This change increases the transparency around transforming revenue streams and awareness of the changing landscape of journal subscriptions. If you have any questions about package subscriptions, Sage’s Open Access Agreements, or general royalty statements, please let me know. 
Please add here the journal’s annual royalty statement which can be found here: https://sagecrm.sharepoint.com/sites/internal/editorial/jed/Royalty%20Test/Forms/AllItems.aspx.
","['email', 'subject', 'year', 'royalty', 'statement', 'email', 'body', 'attached', 'journal', 'royalty', 'statement', 'year', 'royalty', 'due', 'electronic', 'payments', 'made', 'date', 'sage', 'finance', 'team', 'mail', 'print', 'copy', 'royalty', 'statement', 'since', 'payments', 'communications', 'electronic', 'another', 'copy', 'royalty', 'statement', 'emailed', 'remittance', 'advice', 'designated', 'finance', 'contact', 'email', 'line', 'journal', 'payment', 'notifications', 'sage', 'prior', 'years', 'reported', 'package', 'sales', 'revenue', 'one', 'line', 'within', 'royalty', 'statements', 'starting', '2023', 'revenue', 'split', 'package', 'sales', 'read', 'package', 'sales', 'open', 'access', 'revenue', 'change', 'increases', 'transparency', 'around', 'transforming', 'revenue', 'streams', 'awareness', 'changing', 'landscape', 'journal', 'subscriptions', 'questions', 'package', 'subscriptions', 'sage', 'open', 'access', 'agreements', 'general', 'royalty', 'statements', 'please', 'let', 'know', 'please', 'add', 'journal', 'annual', 'royalty', 'statement', 'found', 'https']"
"Email Subject:
Invitation to apply for Editor-in-Chief of <Journal name>
Email Body:
Dear Dr. <NAME>,
I hope this email finds you well. I am reaching out from Sage Publishing regarding an exciting opportunity with <Journal Name> (Impact Factor: <XX>).
<Dr. [Outgoing Editor] will be stepping down as Editor-in-Chief at the end of this year. We have greatly valued our partnership with Dr. [Outgoing Editor] and appreciate their recommendation that you may be a suitable candidate to succeed them.>
OR
<We are inviting applications for the position of Editor-in-Chief and are reaching out to expert members of the community to gauge interest and/or receive suggested candidates for the role.> Further details and the role description can be found [here/attached].
If you are interested in serving as Editor-in-Chief of <Journal Name>, please send your current CV and a letter of intent. The letter should include your perspective on the journal’s current strengths and weaknesses, your prospective editorial strategy, and any preliminary plans for changes to the editorial board (if applicable).

<Furthermore, if you know of any colleagues or peers who might be well-suited for the role of Editor-in-Chief, we encourage you to share this information or provide them with our contact details. Your recommendations and referrals are highly valued as we aim to gather a diverse and qualified pool of candidates for this esteemed position.>
Thank you for considering this opportunity.
Best wishes,

","['email', 'subject', 'invitation', 'apply', 'journal', 'name', 'email', 'body', 'dear', 'name', 'hope', 'email', 'finds', 'well', 'reaching', 'sage', 'publishing', 'regarding', 'exciting', 'opportunity', 'journal', 'name', 'impact', 'factor', 'xx', 'dr', 'outgoing', 'editor', 'stepping', 'end', 'year', 'greatly', 'valued', 'partnership', 'outgoing', 'editor', 'appreciate', 'recommendation', 'may', 'suitable', 'candidate', 'succeed', 'inviting', 'applications', 'position', 'reaching', 'expert', 'members', 'community', 'gauge', 'interest', 'receive', 'suggested', 'candidates', 'details', 'role', 'description', 'found', 'interested', 'serving', 'journal', 'name', 'please', 'send', 'current', 'cv', 'letter', 'intent', 'letter', 'include', 'perspective', 'journal', 'current', 'strengths', 'weaknesses', 'prospective', 'editorial', 'strategy', 'preliminary', 'plans', 'changes', 'editorial', 'board', 'applicable', 'furthermore', 'know', 'colleagues', 'peers', 'might', 'role', 'encourage', 'share', 'information', 'provide', 'contact', 'details', 'recommendations', 'referrals', 'highly', 'valued', 'aim', 'gather', 'diverse', 'qualified', 'pool', 'candidates', 'esteemed', 'thank', 'considering', 'opportunity', 'best', 'wishes']"
"Email Subject:
Strengthening Your Editorial Board: Best Practices for Recruitment and Engagement
Email Body:
As you work to build and strengthen your journal’s Editorial Board, it’s important to set clear expectations for potential members. When recruiting, outline key duties such as submitting a research or review paper every 1-2 years, reviewing delayed papers, and suggesting Special Issue topics. Board members should also act as ambassadors by sourcing authors, promoting the journal, and participating in peer review, while managing workloads to avoid burnout. Click here to learn more about “Making the Most of Your Editorial Board.” Editors should also consider board longevity and implement a system for removing non-productive members.
A diverse and engaged board is crucial for the growth of any journal. When recruiting, balance subject expertise with diversity in gender, ethnicity, and geography, and prioritize active contributors over ""star names."" For additional DEI resources, see the appendix. Additionally, early career researchers can bring fresh perspectives and energy, fostering a forward-thinking board. These individuals can also serve in roles such as the Social Media Editor. Click here to learn more about working with early career researchers.
When recruiting, it’s helpful to differentiate between Editorial Board members (EBMs), who typically review up to 10 articles per year, and Associate Editors (AEs), who identify reviewers and help shape editorial strategy. Both roles are vital, and setting clear 
","['email', 'subject', 'strengthening', 'editorial', 'board', 'best', 'practices', 'recruitment', 'engagement', 'email', 'body', 'work', 'build', 'strengthen', 'journal', 'editorial', 'board', 'important', 'set', 'clear', 'expectations', 'potential', 'members', 'recruiting', 'outline', 'key', 'duties', 'submitting', 'research', 'review', 'paper', 'every', 'years', 'reviewing', 'delayed', 'papers', 'suggesting', 'special', 'issue', 'topics', 'board', 'members', 'also', 'act', 'ambassadors', 'sourcing', 'authors', 'promoting', 'journal', 'participating', 'peer', 'review', 'managing', 'workloads', 'avoid', 'burnout', 'click', 'learn', 'making', 'editorial', 'editors', 'also', 'consider', 'board', 'longevity', 'implement', 'system', 'removing', 'members', 'diverse', 'engaged', 'board', 'crucial', 'growth', 'journal', 'recruiting', 'balance', 'subject', 'expertise', 'diversity', 'gender', 'ethnicity', 'geography', 'prioritize', 'active', 'contributors', 'star', 'names', 'additional', 'dei', 'resources', 'see', 'appendix', 'additionally', 'early', 'career', 'researchers', 'bring', 'fresh', 'perspectives', 'energy', 'fostering', 'board', 'individuals', 'also', 'serve', 'roles', 'social', 'media', 'editor', 'click', 'learn', 'working', 'early', 'career', 'researchers', 'recruiting', 'helpful', 'differentiate', 'editorial', 'board', 'members', 'ebms', 'typically', 'review', '10', 'articles', 'per', 'year', 'associate', 'editors', 'aes', 'identify', 'reviewers', 'help', 'shape', 'editorial', 'strategy', 'roles', 'vital', 'setting', 'clear']"
"Email Subject:
Updated Impact Factor for JOURNAL
Email Body:
For Great News

Dear EDITOR/SOCIETY,

Great news! Impact Factors were just released for 20XX, and JOURNAL achieved [a higher Impact Factor/its highest Impact Factor to date/its first Impact Factor]: X.X. Additionally, JOURNAL is now ranked __/__ in the “______” category, and __/__ in “______”.  

I will be sending a packet of additional information in the next few business days, but for now,  congratulations, and thank you for the hard work you put into the journal. Sage is proud to partner with you on JOURNAL.

[Insert screenshot of IF]

[Share additional information related to changes in Clarivate's calculation methods, changes to indexing/metrics trends over the past couple years, etc., as provided]

Finally, Sage is pleased to share its support for the principles of the Declaration of Research Assessment (DORA), which encourages publishers to report on a range of metrics based on the scientific content of an article rather than publication metrics of the journal in which it was published.

Please let me know if you have any questions as I prepare your packet of additional information .

Sincerely,
PUB ED
","['email', 'subject', 'updated', 'impact', 'factor', 'journal', 'email', 'body', 'great', 'news', 'dear', 'great', 'news', 'impact', 'factors', 'released', '20xx', 'journal', 'achieved', 'higher', 'impact', 'highest', 'impact', 'factor', 'first', 'impact', 'factor', 'additionally', 'journal', 'ranked', 'category', 'sending', 'packet', 'additional', 'information', 'next', 'business', 'days', 'congratulations', 'thank', 'hard', 'work', 'put', 'journal', 'sage', 'proud', 'partner', 'journal', 'insert', 'screenshot', 'share', 'additional', 'information', 'related', 'changes', 'clarivate', 'calculation', 'methods', 'changes', 'trends', 'past', 'couple', 'years', 'provided', 'finally', 'sage', 'pleased', 'share', 'support', 'principles', 'declaration', 'research', 'assessment', 'dora', 'encourages', 'publishers', 'report', 'range', 'metrics', 'based', 'scientific', 'content', 'article', 'rather', 'publication', 'metrics', 'journal', 'published', 'please', 'let', 'know', 'questions', 'prepare', 'packet', 'additional', 'information', 'sincerely', 'pub', 'ed']"
"Email Subject:
[Replace this with a subject line for this email.]
Email Body:
[Replace this with email body
Reminder: Please use yellow highlights to indicate custom information that should be updated before sending the email. Please hyperlink to as many external resources as possible.]
","['email', 'subject', 'replace', 'subject', 'line', 'email', 'email', 'body', 'replace', 'email', 'body', 'reminder', 'please', 'use', 'yellow', 'highlights', 'indicate', 'custom', 'information', 'updated', 'sending', 'email', 'please', 'hyperlink', 'many', 'external', 'resources', 'possible']"
"Email Subject:
JOURNAL Editor Position
Email Body:
Dear Dr. CANDIDATE,

Thank you for applying for the position of Editor-in-Chief of JOURNAL. After careful consideration of your application materials and interview, Sage is pleased to offer you an initial X-year term beginning in January 20XX. This position is paid at an annual stipend of $X,XXX.

Please let me know if you have any further questions about the role, and we look forward to your response on this offer.

Sincerely,
PUB ED
","['email', 'subject', 'journal', 'editor', 'position', 'email', 'body', 'dear', 'candidate', 'thank', 'applying', 'position', 'journal', 'careful', 'consideration', 'application', 'materials', 'interview', 'sage', 'pleased', 'offer', 'initial', 'term', 'beginning', 'january', '20xx', 'position', 'paid', 'annual', 'stipend', 'x', 'xxx', 'please', 'let', 'know', 'questions', 'role', 'look', 'forward', 'response', 'offer', 'sincerely', 'pub', 'ed']"
